json.hpp:1351:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1352:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1353:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1354:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1355:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1356:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1357:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1358:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1359:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1360:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1362:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1363:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1366:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1367:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1368:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1369:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1369:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1370:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1371:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1371:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1372:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1373:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
json.hpp:1373:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1374:  Missing space after ,  [whitespace/comma] [3]
json.hpp:1375:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
